pair_id,board_id,point_id,camera_x_mm,camera_y_mm,camera_z_mm,robot_x_mm,robot_y_mm,robot_z_mm,pred_robot_x_mm,pred_robot_y_mm,pred_robot_z_mm,error_mm,reprojection_error_px,image_path,debug_path
26,003,P8,216.397176,153.339833,768.187288,-324.251700,-636.720700,395.752500,-324.869578,-637.659112,395.927294,1.137077,0.055563,D:\D435_Project\calibration_9points_user0\images\board_003.jpg,D:\D435_Project\calibration_9points_user0\debug\board_003_points.jpg
27,003,P9,191.423570,153.271687,767.040821,-306.761100,-654.634200,395.694000,-306.741573,-654.874154,396.060646,0.438621,0.055563,D:\D435_Project\calibration_9points_user0\images\board_003.jpg,D:\D435_Project\calibration_9points_user0\debug\board_003_points.jpg
28,004,P1,430.542289,58.177517,759.321271,-463.327200,-472.386000,489.603500,-463.123950,-472.832563,489.257565,0.600333,0.082235,D:\D435_Project\calibration_9points_user0\images\board_004.jpg,D:\D435_Project\calibration_9points_user0\debug\board_004_points.jpg
29,004,P2,430.722193,83.038563,756.695239,-462.275200,-471.646200,464.831300,-462.324912,-472.000088,464.284208,0.653466,0.082235,D:\D435_Project\calibration_9points_user0\images\board_004.jpg,D:\D435_Project\calibration_9points_user0\debug\board_004_points.jpg
30,004,P3,430.902097,107.899609,754.069207,-461.454700,-470.572400,439.752800,-461.525874,-471.167613,439.310852,0.744757,0.082235,D:\D435_Project\calibration_9points_user0\images\board_004.jpg,D:\D435_Project\calibration_9points_user0\debug\board_004_points.jpg
31,004,P4,405.744639,58.687903,762.454331,-450.227800,-493.931000,489.371200,-448.222274,-492.905008,489.065247,2.273412,0.082235,D:\D435_Project\calibration_9points_user0\images\board_004.jpg,D:\D435_Project\calibration_9points_user0\debug\board_004_points.jpg
32,004,P5,405.924543,83.548948,759.828299,-449.894700,-492.051600,464.019900,-447.423236,-492.072533,464.091892,2.472601,0.082235,D:\D435_Project\calibration_9points_user0\images\board_004.jpg,D:\D435_Project\calibration_9points_user0\debug\board_004_points.jpg
33,004,P6,406.104447,108.409994,757.202266,-448.055700,-491.333800,439.494200,-446.624197,-491.240058,439.118535,1.482940,0.082235,D:\D435_Project\calibration_9points_user0\images\board_004.jpg,D:\D435_Project\calibration_9points_user0\debug\board_004_points.jpg
34,004,P7,380.946989,59.198288,765.587391,-436.237500,-514.052500,489.009400,-433.320598,-512.977454,488.872931,3.111698,0.082235,D:\D435_Project\calibration_9points_user0\images\board_004.jpg,D:\D435_Project\calibration_9points_user0\debug\board_004_points.jpg
35,004,P8,381.126893,84.059334,762.961358,-436.587600,-513.803200,463.804200,-432.521559,-512.144978,463.899574,4.392207,0.082235,D:\D435_Project\calibration_9points_user0\images\board_004.jpg,D:\D435_Project\calibration_9points_user0\debug\board_004_points.jpg
36,004,P9,381.306797,108.920379,760.335326,-435.562500,-512.391200,439.034900,-431.722521,-511.312503,438.926218,3.990092,0.082235,D:\D435_Project\calibration_9points_user0\images\board_004.jpg,D:\D435_Project\calibration_9points_user0\debug\board_004_points.jpg
