pair_id,board_id,point_id,camera_x_mm,camera_y_mm,camera_z_mm,robot_x_mm,robot_y_mm,robot_z_mm,pred_robot_x_mm,pred_robot_y_mm,pred_robot_z_mm,error_mm,reprojection_error_px,image_path,debug_path
26,003,P8,216.397176,153.339833,768.187288,-324.251700,-636.720700,395.752500,-324.052978,-637.555001,396.336908,1.037826,0.055563,D:\D435_Project\calibration_9points_user0\images\board_003.jpg,D:\D435_Project\calibration_9points_user0\debug\board_003_points.jpg
27,003,P9,191.423570,153.271687,767.040821,-306.761100,-654.634200,395.694000,-305.956577,-654.802939,396.507046,1.156189,0.055563,D:\D435_Project\calibration_9points_user0\images\board_003.jpg,D:\D435_Project\calibration_9points_user0\debug\board_003_points.jpg
28,004,P1,430.542289,58.177517,759.321271,-463.327200,-472.386000,489.603500,-463.547532,-473.889667,489.865139,1.542082,0.082235,D:\D435_Project\calibration_9points_user0\images\board_004.jpg,D:\D435_Project\calibration_9points_user0\debug\board_004_points.jpg
29,004,P2,430.722193,83.038563,756.695239,-462.275200,-471.646200,464.831300,-462.341292,-472.685963,464.923285,1.045914,0.082235,D:\D435_Project\calibration_9points_user0\images\board_004.jpg,D:\D435_Project\calibration_9points_user0\debug\board_004_points.jpg
30,004,P3,430.902097,107.899609,754.069207,-461.454700,-470.572400,439.752800,-461.135053,-471.482259,439.981430,0.991105,0.082235,D:\D435_Project\calibration_9points_user0\images\board_004.jpg,D:\D435_Project\calibration_9points_user0\debug\board_004_points.jpg
31,004,P4,405.744639,58.687903,762.454331,-450.227800,-493.931000,489.371200,-448.676219,-493.983977,489.614586,1.571447,0.082235,D:\D435_Project\calibration_9points_user0\images\board_004.jpg,D:\D435_Project\calibration_9points_user0\debug\board_004_points.jpg
32,004,P5,405.924543,83.548948,759.828299,-449.894700,-492.051600,464.019900,-447.469979,-492.780273,464.672733,2.614656,0.082235,D:\D435_Project\calibration_9points_user0\images\board_004.jpg,D:\D435_Project\calibration_9points_user0\debug\board_004_points.jpg
33,004,P6,406.104447,108.409994,757.202266,-448.055700,-491.333800,439.494200,-446.263739,-491.576568,439.730878,1.823753,0.082235,D:\D435_Project\calibration_9points_user0\images\board_004.jpg,D:\D435_Project\calibration_9points_user0\debug\board_004_points.jpg
34,004,P7,380.946989,59.198288,765.587391,-436.237500,-514.052500,489.009400,-433.804906,-514.078287,489.364034,2.458443,0.082235,D:\D435_Project\calibration_9points_user0\images\board_004.jpg,D:\D435_Project\calibration_9points_user0\debug\board_004_points.jpg
35,004,P8,381.126893,84.059334,762.961358,-436.587600,-513.803200,463.804200,-432.598666,-512.874582,464.422179,4.141959,0.082235,D:\D435_Project\calibration_9points_user0\images\board_004.jpg,D:\D435_Project\calibration_9points_user0\debug\board_004_points.jpg
36,004,P9,381.306797,108.920379,760.335326,-435.562500,-512.391200,439.034900,-431.392426,-511.670878,439.480326,4.255207,0.082235,D:\D435_Project\calibration_9points_user0\images\board_004.jpg,D:\D435_Project\calibration_9points_user0\debug\board_004_points.jpg
37,005,P1,122.265949,32.702904,597.267460,-131.210500,-585.280000,512.696400,-132.802959,-583.896849,511.105270,2.642107,0.064342,D:\D435_Project\calibration_9points_user0\images\board_005.jpg,D:\D435_Project\calibration_9points_user0\debug\board_005_points.jpg
38,005,P2,147.237184,33.813325,597.719528,-149.607600,-568.160800,511.746600,-150.420006,-566.201976,509.867892,2.833115,0.064342,D:\D435_Project\calibration_9points_user0\images\board_005.jpg,D:\D435_Project\calibration_9points_user0\debug\board_005_points.jpg
39,005,P3,172.208419,34.923746,598.171595,-168.752600,-551.574300,510.450600,-168.037052,-548.507102,508.630515,3.637640,0.064342,D:\D435_Project\calibration_9points_user0\images\board_005.jpg,D:\D435_Project\calibration_9points_user0\debug\board_005_points.jpg
40,005,P4,121.186338,57.628875,595.676727,-132.452900,-587.796900,487.616100,-131.474951,-584.320178,486.144156,3.900077,0.064342,D:\D435_Project\calibration_9points_user0\images\board_005.jpg,D:\D435_Project\calibration_9points_user0\debug\board_005_points.jpg
41,005,P5,146.157574,58.739296,596.128794,-150.235400,-570.253200,486.622100,-149.091998,-566.625304,484.906779,4.172688,0.064342,D:\D435_Project\calibration_9points_user0\images\board_005.jpg,D:\D435_Project\calibration_9points_user0\debug\board_005_points.jpg
42,005,P6,171.128809,59.849717,596.580862,-168.794000,-553.163200,485.631800,-166.709045,-548.930431,483.669401,5.110224,0.064342,D:\D435_Project\calibration_9points_user0\images\board_005.jpg,D:\D435_Project\calibration_9points_user0\debug\board_005_points.jpg
43,005,P7,120.106728,82.554845,594.085993,-131.859500,-588.271800,462.927700,-130.146943,-584.743506,461.183043,4.292498,0.064342,D:\D435_Project\calibration_9points_user0\images\board_005.jpg,D:\D435_Project\calibration_9points_user0\debug\board_005_points.jpg
44,005,P8,145.077963,83.665266,594.538061,-149.353300,-571.042500,461.181500,-147.763990,-567.048633,459.945666,4.472602,0.064342,D:\D435_Project\calibration_9points_user0\images\board_005.jpg,D:\D435_Project\calibration_9points_user0\debug\board_005_points.jpg
45,005,P9,170.049199,84.775687,594.990128,-167.927600,-554.515700,460.532000,-165.381037,-549.353759,458.708288,6.037926,0.064342,D:\D435_Project\calibration_9points_user0\images\board_005.jpg,D:\D435_Project\calibration_9points_user0\debug\board_005_points.jpg
