timestamp,frame_index,target_id,target_source,depth_m,pixel_x,pixel_y,camera_x_m,camera_y_m,camera_z_m,smooth_x_m,smooth_y_m,smooth_z_m,meter_conf,display_conf,stable_frames,status
1788755743.3371031,108,1,display,0.869000,748,216,0.095172,-0.149864,0.869000,0.095172,-0.150037,0.869000,0.891589,0.908505,10,ready
1788755743.3371031,108,2,display,0.876000,742,492,0.090118,0.117243,0.876000,0.089250,0.116708,0.872000,0.929248,0.915864,10,ready
1788755743.3371031,108,3,display,0.877000,894,496,0.237833,0.121270,0.877000,0.238104,0.121547,0.878000,0.912320,0.916761,10,ready
