timestamp,frame_index,target_id,meter_conf,display_conf,meter_cx,meter_cy,display_cx,display_cy,target_source,depth_m,camera_x_m,camera_y_m,camera_z_m,smooth_x_m,smooth_y_m,smooth_z_m,has_display
1787399904.3212814,13,2,0.938211,0.902051,735,552,742,499,meter,0.794000,0.075528,0.186454,0.794000,0.075528,0.186454,0.793000,1
1787399904.3212814,13,3,0.936477,0.950671,899,554,900,497,meter,0.807000,0.223318,0.192193,0.807000,0.223871,0.194465,0.808000,1
1787399904.4470496,14,1,0.933239,0.920426,737,262,737,210,meter,0.822500,0.060934,-0.099857,0.822500,0.059932,-0.099554,0.820500,1
1787399904.4470496,14,2,0.937203,0.897915,735,552,742,499,meter,0.797000,0.075813,0.186274,0.797000,0.075528,0.186454,0.793500,1
1787399904.4470496,14,3,0.941192,0.954958,899,555,900,496,meter,0.807000,0.223318,0.193089,0.807000,0.223733,0.194104,0.808000,1
1787399904.591271,15,1,0.931050,0.926981,737,262,737,210,meter,0.817000,0.079525,-0.072896,0.817000,0.059951,-0.099493,0.820500,1
1787399904.591271,15,2,0.939507,0.912607,735,552,742,499,meter,0.795000,0.075623,0.186688,0.795000,0.075528,0.186454,0.794000,1
1787399904.591271,15,3,0.944006,0.951139,899,556,900,497,meter,0.809000,0.223871,0.194465,0.809000,0.223871,0.194465,0.808000,1
1787399904.7395487,16,1,0.930987,0.927852,736,262,737,210,meter,0.821000,0.059005,-0.099675,0.821000,0.059914,-0.099614,0.820500,1
1787399904.7395487,16,2,0.936867,0.898368,735,553,742,499,meter,0.793000,0.075433,0.187979,0.793000,0.075528,0.186454,0.794000,1
1787399904.7395487,16,3,0.947135,0.947868,899,558,900,496,meter,0.806000,0.223041,0.196427,0.806000,0.223594,0.194465,0.808000,1
1787399904.8668122,17,1,0.930542,0.923837,736,261,737,210,meter,0.817000,0.078621,-0.073802,0.817000,0.059987,-0.099493,0.820000,1
1787399904.8668122,17,2,0.936972,0.905875,735,552,742,499,meter,0.795000,0.075623,0.186688,0.795000,0.075528,0.186454,0.794000,1
1787399904.8668122,17,3,0.944637,0.953261,899,557,900,497,meter,0.808000,0.223594,0.195121,0.808000,0.223594,0.194465,0.808000,1
1787399905.01026,18,1,0.929820,0.924732,737,261,737,210,meter,0.820500,0.059878,-0.100525,0.820500,0.059914,-0.099675,0.820000,1
1787399905.01026,18,2,0.935357,0.910478,735,552,742,499,meter,0.793000,0.075433,0.186219,0.793000,0.075433,0.186454,0.793000,1
1787399905.01026,18,3,0.937332,0.949952,899,554,900,497,meter,0.809000,0.223871,0.191772,0.809000,0.223594,0.193744,0.808000,1
1787399905.1552174,19,1,0.932710,0.923541,737,262,737,210,meter,0.821000,0.059914,-0.099675,0.821000,0.059914,-0.099675,0.820500,1
1787399905.1552174,19,2,0.940025,0.899503,735,551,742,499,meter,0.794000,0.075528,0.184691,0.794000,0.075528,0.186274,0.794000,1
1787399905.1552174,19,3,0.942712,0.948120,899,558,900,497,meter,0.809000,0.223871,0.197158,0.809000,0.223871,0.193744,0.808000,1
1787399905.337267,20,1,0.931964,0.921592,737,262,737,210,meter,0.820000,0.079817,-0.074073,0.820000,0.059914,-0.099675,0.820000,1
1787399905.337267,20,2,0.940485,0.897964,735,552,742,499,meter,0.792000,0.075338,0.185984,0.792000,0.075433,0.186219,0.793000,1
1787399905.337267,20,3,0.941840,0.953979,899,559,900,497,meter,0.811000,0.224425,0.198546,0.811000,0.223871,0.194465,0.809000,1
1787399905.5136442,21,1,0.934442,0.924680,736,262,737,210,meter,0.816500,0.059586,-0.099129,0.816500,0.059914,-0.099493,0.820000,1
1787399905.5136442,21,2,0.940685,0.908155,735,552,742,499,meter,0.794000,0.075528,0.185572,0.794000,0.075433,0.186219,0.793000,1
1787399905.5136442,21,3,0.938091,0.952152,899,554,900,496,meter,0.810000,0.224148,0.192009,0.810000,0.223871,0.194465,0.809000,1
1787399905.677969,22,1,0.932321,0.928121,736,262,737,210,meter,0.820500,0.059878,-0.099614,0.820500,0.059914,-0.099493,0.820000,1
1787399905.677969,22,2,0.940419,0.909271,735,552,742,499,meter,0.792000,0.075338,0.185984,0.792000,0.075433,0.186219,0.793000,1
1787399905.677969,22,3,0.944662,0.951560,899,558,900,497,meter,0.809000,0.223871,0.196261,0.809000,0.223871,0.194465,0.809000,1
1787399905.8442357,23,1,0.931847,0.925476,737,262,737,210,meter,0.821500,0.059951,-0.099736,0.821500,0.059914,-0.099614,0.820500,1
1787399905.8442357,23,2,0.940003,0.910886,735,552,742,499,meter,0.794000,0.075528,0.186454,0.794000,0.075528,0.186274,0.794000,1
1787399905.8442357,23,3,0.944048,0.951491,898,556,900,497,meter,0.808000,0.222700,0.193328,0.808000,0.223871,0.194465,0.809000,1
1787399906.0132,24,1,0.931427,0.922058,738,262,737,210,meter,0.820000,0.080725,-0.073163,0.820000,0.059914,-0.099614,0.820500,1
1787399906.0132,24,2,0.940484,0.899874,735,552,742,499,meter,0.794000,0.075528,0.185572,0.794000,0.075528,0.186274,0.794000,1
1787399906.0132,24,3,0.940565,0.953195,899,556,900,497,meter,0.806000,0.223041,0.193744,0.806000,0.223871,0.193744,0.809000,1
1787399906.2108526,25,1,0.932813,0.925421,736,262,737,210,meter,0.818500,0.059732,-0.099371,0.818500,0.059914,-0.099614,0.820500,1
1787399906.2108526,25,2,0.937736,0.911037,735,552,742,499,meter,0.795000,0.075623,0.185806,0.795000,0.075528,0.186219,0.794000,1
1787399906.2108526,25,3,0.938631,0.951316,899,553,900,497,meter,0.807000,0.223318,0.190402,0.807000,0.223594,0.193744,0.808000,1
