timestamp,frame_index,target_id,target_source,depth_m,pixel_x,pixel_y,camera_x_m,camera_y_m,camera_z_m,smooth_x_m,smooth_y_m,smooth_z_m,meter_conf,display_conf,stable_frames,status
1787399925.4541113,146,1,meter,0.821500,715,261,0.059951,-0.100647,0.821500,0.059951,-0.099974,0.821000,0.931408,0.924922,10,ready
1787399925.4541113,146,2,meter,0.797000,735,582,0.075813,0.186274,0.797000,0.075623,0.186688,0.795000,0.940670,0.906075,10,ready
1787399925.4541113,146,3,meter,0.808000,899,584,0.223594,0.190638,0.808000,0.223871,0.193984,0.809000,0.941651,0.955121,10,ready
