frame_index,timestamp_second,image_name,status,blur,std
3660,121.956,full_frame_003660.jpg,saved,45.1971,50.5713
3690,122.955,full_frame_003690.jpg,saved,55.5869,50.9500
3720,123.955,full_frame_003720.jpg,saved,89.0976,55.5194
3750,124.955,full_frame_003750.jpg,saved,115.4066,54.0645
3780,125.954,full_frame_003780.jpg,saved,130.1145,52.2841
3810,126.954,full_frame_003810.jpg,saved,119.4545,56.6535
3840,127.954,full_frame_003840.jpg,saved,52.1001,56.4362
3870,128.953,full_frame_003870.jpg,saved,118.4689,52.1014
3900,129.953,full_frame_003900.jpg,saved,75.9185,52.1545
3930,130.953,full_frame_003930.jpg,saved,196.7467,64.4296
3960,131.952,full_frame_003960.jpg,saved,112.3428,63.3769
3990,132.952,full_frame_003990.jpg,saved,99.8688,63.6576
4020,133.951,full_frame_004020.jpg,saved,90.8815,62.3152
4050,134.951,full_frame_004050.jpg,saved,126.3139,58.4989
4080,135.951,full_frame_004080.jpg,saved,55.2326,59.2940
4110,136.950,full_frame_004110.jpg,saved,113.2218,61.0385
4140,137.950,full_frame_004140.jpg,saved,133.1567,61.0827
4170,138.950,full_frame_004170.jpg,saved,137.5865,62.6882
4200,139.949,full_frame_004200.jpg,saved,87.1563,61.0061
4230,140.949,full_frame_004230.jpg,saved,51.2511,63.0592
4260,141.949,full_frame_004260.jpg,saved,88.7273,61.0111
4290,142.948,full_frame_004290.jpg,saved,74.7625,58.8609
4320,143.948,full_frame_004320.jpg,saved,124.4965,60.3929
4350,144.947,full_frame_004350.jpg,saved,124.9015,60.1428
4380,145.947,full_frame_004380.jpg,saved,166.3966,59.7806
4410,146.947,full_frame_004410.jpg,saved,126.4323,61.5947
4440,147.946,full_frame_004440.jpg,saved,92.4603,63.5358
4470,148.946,full_frame_004470.jpg,saved,57.5370,55.9586
4500,149.946,,skipped_low_quality,17.7126,50.9786
4530,150.945,full_frame_004530.jpg,saved,36.8271,62.0751
4560,151.945,full_frame_004560.jpg,saved,108.1275,65.6841
4590,152.945,full_frame_004590.jpg,saved,73.1916,61.9107
4620,153.944,full_frame_004620.jpg,saved,59.7198,60.3680
4650,154.944,full_frame_004650.jpg,saved,37.9355,59.1016
4680,155.943,full_frame_004680.jpg,saved,68.4142,63.0003
4710,156.943,full_frame_004710.jpg,saved,50.6385,57.9694
4740,157.943,full_frame_004740.jpg,saved,56.8381,55.9130
4770,158.942,full_frame_004770.jpg,saved,25.3128,54.9876
4800,159.942,full_frame_004800.jpg,saved,44.1112,54.5649
4830,160.942,full_frame_004830.jpg,saved,79.5068,56.4105
4860,161.941,full_frame_004860.jpg,saved,61.3824,55.8846
4890,162.941,,skipped_low_quality,10.2355,53.9444
4920,163.941,full_frame_004920.jpg,saved,27.4015,54.8291
4950,164.940,full_frame_004950.jpg,saved,69.8068,56.9978
4980,165.940,full_frame_004980.jpg,saved,62.8754,54.4667
5010,166.939,,skipped_low_quality,17.3828,54.9102
5040,167.939,full_frame_005040.jpg,saved,75.6162,55.7779
5070,168.939,full_frame_005070.jpg,saved,34.5465,53.0435
5100,169.938,full_frame_005100.jpg,saved,45.8549,51.0172
5130,170.938,full_frame_005130.jpg,saved,52.5318,54.6634
5160,171.938,full_frame_005160.jpg,saved,50.3185,58.3479
5190,172.937,full_frame_005190.jpg,saved,114.3764,58.5995
5220,173.937,,skipped_low_quality,16.6360,52.9929
5250,174.937,full_frame_005250.jpg,saved,31.4336,53.0228
5280,175.936,full_frame_005280.jpg,saved,74.5011,52.1876
5310,176.936,full_frame_005310.jpg,saved,33.0549,54.3020
5340,177.935,full_frame_005340.jpg,saved,62.4723,52.5056
5370,178.935,full_frame_005370.jpg,saved,105.3044,52.9476
5400,179.935,,skipped_low_quality,9.3744,53.7400
5430,180.934,,skipped_low_quality,13.2796,50.3736
5460,181.934,,skipped_low_quality,8.5312,50.3947
5490,182.934,,skipped_low_quality,12.1834,43.4099
5520,183.933,full_frame_005520.jpg,saved,58.5576,47.1648
5550,184.933,full_frame_005550.jpg,saved,22.2630,43.1254
5580,185.933,,skipped_low_quality,14.2557,43.9111
5610,186.932,,skipped_low_quality,18.3846,47.2190
5640,187.932,full_frame_005640.jpg,saved,30.1523,49.5639
5670,188.932,full_frame_005670.jpg,saved,25.5754,53.1142
5700,189.931,,skipped_low_quality,19.5931,53.7710
5730,190.931,,skipped_low_quality,14.9886,53.2325
5760,191.930,full_frame_005760.jpg,saved,46.4027,53.1335
5790,192.930,,skipped_low_quality,14.5074,53.5465
5820,193.930,,skipped_low_quality,9.8715,51.4987
5850,194.929,full_frame_005850.jpg,saved,24.9695,51.5908
5880,195.929,full_frame_005880.jpg,saved,32.4671,46.6038
5910,196.929,full_frame_005910.jpg,saved,54.0525,48.6953
5940,197.928,full_frame_005940.jpg,saved,26.3012,48.4002
5970,198.928,,skipped_low_quality,12.8207,45.2060
6000,199.928,full_frame_006000.jpg,saved,72.0350,53.2681
6030,200.927,full_frame_006030.jpg,saved,80.1546,52.5136
6060,201.927,,skipped_low_quality,19.1382,43.2451
6090,202.926,,skipped_low_quality,2.6003,30.5317
6120,203.926,,skipped_low_quality,6.2884,49.5921
6150,204.926,,skipped_low_quality,7.0907,53.6226
6180,205.925,full_frame_006180.jpg,saved,43.1714,56.7056
6210,206.925,full_frame_006210.jpg,saved,48.2523,57.9984
6240,207.925,full_frame_006240.jpg,saved,73.3301,56.7965
6270,208.924,full_frame_006270.jpg,saved,82.2863,58.6125
6300,209.924,,skipped_low_quality,19.2236,48.0593
6330,210.924,,skipped_low_quality,4.0121,39.8381
6360,211.923,full_frame_006360.jpg,saved,20.0109,48.3868
6390,212.923,full_frame_006390.jpg,saved,22.1280,51.0390
6420,213.922,,skipped_low_quality,16.3319,50.2576
6450,214.922,full_frame_006450.jpg,saved,38.3669,50.2817
6480,215.922,full_frame_006480.jpg,saved,41.6754,49.4345
6510,216.921,,skipped_low_quality,19.4553,51.1480
6540,217.921,full_frame_006540.jpg,saved,28.3784,51.5976
6570,218.921,,skipped_low_quality,19.4988,42.8654
6600,219.920,,skipped_low_quality,10.8908,39.7759
6630,220.920,,skipped_low_quality,13.3714,38.8101
6660,221.920,full_frame_006660.jpg,saved,51.3049,41.7631
