epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3046.93,1.69589,2.02571,1.28671,0.23635,0.42465,0.299,0.07192,2.51349,3.67882,1.67124,0.000990365,0.000990365,0.000990365
43,3120.56,1.64507,2.07315,1.26,0.2466,0.34615,0.16734,0.06628,2.55181,3.59115,1.65964,0.000973861,0.000973861,0.000973861
44,3197.13,1.64004,1.96941,1.24055,0.20213,0.32692,0.1742,0.0636,2.48913,3.6443,1.63763,0.000957358,0.000957358,0.000957358
45,3270.46,1.53764,2.07631,1.24721,0.26132,0.34615,0.24814,0.06788,2.51607,3.67021,1.7015,0.000940855,0.000940855,0.000940855
46,3343.9,1.55586,1.94657,1.22006,0.36549,0.43255,0.29798,0.08051,2.54217,3.58647,1.70944,0.000924352,0.000924352,0.000924352
47,3414.92,1.48674,1.89679,1.19309,0.36713,0.35978,0.32357,0.11432,2.53662,3.51116,1.66462,0.000907848,0.000907848,0.000907848
48,3497.64,1.50004,1.87502,1.20094,0.42019,0.32692,0.32495,0.11628,2.5386,3.45162,1.67399,0.000891345,0.000891345,0.000891345
49,3604.84,1.52647,1.85717,1.22607,0.86528,0.42308,0.45506,0.16482,2.47682,3.28766,1.67194,0.000874842,0.000874842,0.000874842
50,3721.1,1.55703,1.86687,1.19915,0.91434,0.42308,0.44813,0.15208,2.52745,3.26689,1.69969,0.000858338,0.000858338,0.000858338
51,3791.7,1.47512,1.75698,1.16467,0.83381,0.38462,0.40685,0.14134,2.54859,3.0942,1.71558,0.000841835,0.000841835,0.000841835
52,3862.67,1.46345,1.82335,1.17574,0.75175,0.3604,0.37152,0.14237,2.58106,3.16186,1.73187,0.000825332,0.000825332,0.000825332
53,3934.46,1.49564,1.77391,1.17139,0.67227,0.32692,0.35593,0.11525,2.50325,3.41349,1.68023,0.000808828,0.000808828,0.000808828
54,4005.53,1.46053,1.74914,1.15544,0.53655,0.34615,0.32795,0.12226,2.43901,3.33764,1.6368,0.000792325,0.000792325,0.000792325
55,4076.3,1.47668,1.80523,1.17078,0.46256,0.36538,0.30173,0.09297,2.38041,3.38735,1.59065,0.000775822,0.000775822,0.000775822
56,4151.34,1.46424,1.74296,1.16906,0.44029,0.38462,0.25361,0.08988,2.27295,3.48563,1.52331,0.000759318,0.000759318,0.000759318
57,4228.77,1.437,1.75481,1.14891,0.41682,0.40385,0.28312,0.09522,2.33639,3.30068,1.59724,0.000742815,0.000742815,0.000742815
58,4302.04,1.35842,1.65106,1.1354,0.61882,0.42308,0.3782,0.10894,2.49581,3.04005,1.70381,0.000726312,0.000726312,0.000726312
59,4373.33,1.46374,1.79839,1.15814,0.43526,0.34615,0.29377,0.09542,2.41153,3.29106,1.62054,0.000709809,0.000709809,0.000709809
60,4444.52,1.39415,1.66062,1.12757,0.43208,0.43177,0.30412,0.10113,2.33304,3.37048,1.58921,0.000693305,0.000693305,0.000693305
61,4515.18,1.39486,1.68454,1.14411,0.54343,0.40353,0.3589,0.13643,2.40013,3.43193,1.5977,0.000676802,0.000676802,0.000676802
62,4585.69,1.44689,1.67387,1.19711,0.54844,0.36538,0.38413,0.1372,2.3855,3.40696,1.56807,0.000660299,0.000660299,0.000660299
63,4657.82,1.44575,1.6069,1.1539,0.77782,0.37623,0.41636,0.14821,2.50756,3.40522,1.59876,0.000643795,0.000643795,0.000643795
64,4728.01,1.42273,1.63954,1.15408,0.75299,0.40385,0.42222,0.14914,2.61294,3.37106,1.64899,0.000627292,0.000627292,0.000627292
65,4812.26,1.4664,1.96082,1.20497,0.78556,0.40151,0.42168,0.15946,2.62268,3.33957,1.69383,0.000610789,0.000610789,0.000610789
66,4897.46,1.3427,1.62107,1.1424,0.87272,0.41401,0.42914,0.17099,2.45024,3.39156,1.62222,0.000594286,0.000594286,0.000594286
67,4970.79,1.42017,1.66674,1.18195,0.8603,0.39865,0.43757,0.17377,2.40671,3.43309,1.60288,0.000577782,0.000577782,0.000577782
68,5042,1.37982,1.63634,1.13371,0.7616,0.36538,0.41742,0.15873,2.47742,3.3562,1.65092,0.000561279,0.000561279,0.000561279
69,5125.35,1.33685,1.56601,1.11575,0.52857,0.37553,0.37784,0.14662,2.59524,3.26963,1.7028,0.000544776,0.000544776,0.000544776
70,5200.2,1.40084,1.63203,1.13193,0.56547,0.42688,0.39777,0.13847,2.55494,3.37795,1.69594,0.000528272,0.000528272,0.000528272
71,5281.24,1.2867,1.54856,1.09779,0.61461,0.36538,0.38638,0.13442,2.47851,3.4311,1.68408,0.000511769,0.000511769,0.000511769
72,5357.85,1.26173,1.77508,1.03979,0.62708,0.40385,0.40172,0.12741,2.48326,3.41114,1.69723,0.000495266,0.000495266,0.000495266
73,5432.91,1.31773,1.49441,1.0867,0.66419,0.40385,0.40563,0.13098,2.5573,3.3287,1.70743,0.000478762,0.000478762,0.000478762
74,5506.79,1.37841,1.51804,1.13061,0.65108,0.40385,0.40784,0.13126,2.58669,3.30313,1.72112,0.000462259,0.000462259,0.000462259
75,5579.98,1.32407,1.40428,1.0741,0.76075,0.37637,0.40351,0.15101,2.5985,3.25759,1.72378,0.000445756,0.000445756,0.000445756
76,5657.55,1.3096,1.46874,1.11858,0.67963,0.42308,0.41303,0.14733,2.60142,3.23806,1.72396,0.000429253,0.000429253,0.000429253
77,5737.32,1.28283,1.40389,1.09135,0.63473,0.42308,0.36744,0.13906,2.56816,3.2882,1.73153,0.000412749,0.000412749,0.000412749
78,5812.78,1.35182,1.35036,1.10033,0.61341,0.42143,0.3948,0.14388,2.45562,3.27974,1.6841,0.000396246,0.000396246,0.000396246
79,5882.7,1.30786,1.34133,1.05666,0.66033,0.42308,0.40546,0.16055,2.35825,3.28123,1.65002,0.000379743,0.000379743,0.000379743
80,5952.85,1.26937,1.40692,1.09124,0.67959,0.40385,0.3829,0.15918,2.37798,3.25302,1.64787,0.000363239,0.000363239,0.000363239
81,6044.05,1.34309,1.50944,1.11083,0.6755,0.40385,0.38149,0.15355,2.43779,3.2049,1.6711,0.000346736,0.000346736,0.000346736
82,6123.52,1.28777,1.46982,1.11704,0.62822,0.36538,0.35876,0.13991,2.46158,3.21809,1.67332,0.000330233,0.000330233,0.000330233
83,6199.96,1.23578,1.33135,1.05628,0.719,0.37067,0.38775,0.14379,2.36382,3.25474,1.63383,0.000313729,0.000313729,0.000313729
84,6271.94,1.27786,1.43183,1.07295,0.62435,0.38462,0.38529,0.13543,2.34658,3.28649,1.60394,0.000297226,0.000297226,0.000297226
85,6343.3,1.19681,1.37438,1.07561,0.83456,0.37228,0.38203,0.12934,2.40468,3.26888,1.61325,0.000280723,0.000280723,0.000280723
86,6412.46,1.23514,1.42522,1.07041,0.56298,0.40385,0.38011,0.12035,2.50618,3.20818,1.66074,0.00026422,0.00026422,0.00026422
87,6487.43,1.23508,1.33496,1.04635,0.57228,0.41458,0.39262,0.12743,2.51099,3.17621,1.66123,0.000247716,0.000247716,0.000247716
88,6558.33,1.24656,1.38331,1.09613,0.6184,0.40385,0.38188,0.13386,2.44949,3.19233,1.63692,0.000231213,0.000231213,0.000231213
89,6631.88,1.22018,1.31567,1.07232,0.69767,0.40004,0.39138,0.13604,2.44131,3.19844,1.63351,0.00021471,0.00021471,0.00021471
90,6703.91,1.22658,1.35563,1.08281,0.66635,0.37632,0.39457,0.14132,2.4454,3.20933,1.6408,0.000198206,0.000198206,0.000198206
91,6776.06,1.22039,1.46722,1.10787,0.65721,0.42308,0.41102,0.13783,2.46437,3.20963,1.67024,0.000181703,0.000181703,0.000181703
92,6848.6,1.15529,1.39293,1.04503,0.604,0.42308,0.40206,0.14661,2.55107,3.18575,1.71067,0.0001652,0.0001652,0.0001652
93,6923.94,1.12833,1.41075,1.04885,0.66858,0.44231,0.40926,0.15095,2.59563,3.22528,1.75537,0.000148696,0.000148696,0.000148696
94,6994.2,1.14968,1.40058,1.04195,0.7068,0.44231,0.40933,0.1536,2.52825,3.23202,1.71287,0.000132193,0.000132193,0.000132193
95,7064.41,1.10903,1.3782,1.0422,0.71266,0.44231,0.41075,0.15065,2.46378,3.26518,1.69538,0.00011569,0.00011569,0.00011569
96,7138.5,1.09964,1.3741,1.04481,0.71955,0.44231,0.40971,0.1508,2.45259,3.27774,1.69483,9.91865e-05,9.91865e-05,9.91865e-05
97,7219.65,1.12809,1.34852,1.05202,0.74398,0.44081,0.40727,0.15484,2.42249,3.28488,1.687,8.26832e-05,8.26832e-05,8.26832e-05
98,7294.83,1.06799,1.36034,1.03253,0.69853,0.41747,0.38602,0.15323,2.42288,3.28311,1.68424,6.61799e-05,6.61799e-05,6.61799e-05
99,7366.57,1.07187,1.32088,1.04417,0.69629,0.42308,0.3748,0.15264,2.4203,3.2858,1.67743,4.96766e-05,4.96766e-05,4.96766e-05
100,7434.57,1.05053,1.3469,1.01983,0.64959,0.37978,0.35809,0.15393,2.44552,3.27576,1.67982,3.31733e-05,3.31733e-05,3.31733e-05
