timestamp,frame_index,target_id,meter_conf,display_conf,meter_cx,meter_cy,display_cx,display_cy,target_source,depth_m,camera_x_m,camera_y_m,camera_z_m,smooth_x_m,smooth_y_m,smooth_z_m,has_display
1786437112.9942994,13,1,0.903441,0.911792,753,291,752,237,meter,0.843000,0.096992,-0.049956,0.843000,0.072553,-0.052079,0.840000,1
1786437112.9942994,13,2,0.911168,0.910228,901,300,898,247,meter,0.816000,0.227615,-0.039300,0.816000,0.204952,-0.040255,0.817000,1
1786437112.9942994,13,3,0.939487,0.928314,769,572,771,508,meter,0.756000,0.100376,0.195149,0.756000,0.075185,0.190905,0.754500,1
1786437112.9942994,13,4,0.916092,0.871030,940,570,933,510,meter,0.764000,0.246104,0.195518,0.764000,0.224139,0.194670,0.767000,1
1786437113.1018112,14,1,0.908645,0.894233,759,292,757,241,meter,0.841000,0.102349,-0.048904,0.841000,0.076365,-0.050831,0.840000,1
1786437113.1018112,14,2,0.921765,0.876980,908,301,905,250,meter,0.814000,0.233367,-0.038301,0.814000,0.208246,-0.040206,0.817000,1
1786437113.1018112,14,3,0.929547,0.936080,773,572,776,510,meter,0.750000,0.102902,0.193600,0.750000,0.079027,0.191867,0.753000,1
1786437113.1018112,14,4,0.920847,0.891303,944,572,939,510,meter,0.761000,0.248509,0.196439,0.761000,0.228810,0.195094,0.767000,1
1786437113.2113154,15,1,0.903835,0.890402,754,290,754,236,meter,0.840000,0.097577,-0.050711,0.840000,0.080661,-0.050771,0.840000,1
1786437113.2113154,15,2,0.920993,0.885364,903,297,899,245,meter,0.814000,0.228860,-0.041914,0.814000,0.213094,-0.040255,0.816500,1
1786437113.2113154,15,3,0.933972,0.940729,770,568,773,506,meter,0.755000,0.101079,0.191539,0.755000,0.083075,0.191703,0.754000,1
1786437113.2113154,15,4,0.925159,0.905557,940,566,935,507,meter,0.764000,0.246104,0.192127,0.764000,0.233482,0.194670,0.767000,1
1786437113.3203812,16,1,0.903508,0.894347,754,290,754,236,meter,0.843000,0.097925,-0.050892,0.843000,0.084957,-0.050831,0.840000,1
1786437113.3203812,16,2,0.918999,0.885235,904,296,899,244,meter,0.813000,0.229479,-0.042765,0.813000,0.217943,-0.040305,0.816000,1
1786437113.3203812,16,3,0.932948,0.946907,771,569,774,506,meter,0.754000,0.101780,0.192122,0.754000,0.087122,0.191867,0.754000,1
1786437113.3203812,16,4,0.926994,0.909763,942,567,936,507,meter,0.762000,0.247148,0.192469,0.762000,0.236409,0.193776,0.766500,1
1786437113.432911,17,1,0.904851,0.910442,753,290,752,237,meter,0.842000,0.096877,-0.050831,0.842000,0.088586,-0.050831,0.840500,1
1786437113.432911,17,2,0.916725,0.902527,902,298,897,246,meter,0.813000,0.227679,-0.040960,0.813000,0.219888,-0.040632,0.816000,1
1786437113.432911,17,3,0.940477,0.928886,768,570,772,507,meter,0.756000,0.099539,0.193471,0.756000,0.090632,0.191995,0.754500,1
1786437113.432911,17,4,0.922044,0.905328,940,567,934,508,meter,0.765000,0.246427,0.192378,0.765000,0.239336,0.192881,0.766000,1
1786437113.5528233,18,1,0.941128,0.838057,735,276,735,225,meter,0.837000,0.079618,-0.062605,0.837000,0.084957,-0.050831,0.840000,1
1786437113.5528233,18,2,0.896277,0.850703,883,289,880,234,meter,0.818000,0.211869,-0.049382,0.818000,0.217943,-0.040960,0.816000,1
1786437113.5528233,18,3,0.949751,0.919046,748,553,747,494,meter,0.753000,0.082468,0.177661,0.753000,0.087122,0.191867,0.754000,1
1786437113.5528233,18,4,0.932146,0.843397,912,554,907,497,meter,0.769000,0.223872,0.182290,0.769000,0.236409,0.192675,0.766500,1
1786437113.6623292,19,1,0.931851,0.892997,740,283,741,232,meter,0.842000,0.084756,-0.056438,0.842000,0.084857,-0.050861,0.840500,1
1786437113.6623292,19,2,0.938882,0.863611,889,294,886,240,meter,0.815000,0.216507,-0.043775,0.815000,0.217225,-0.041437,0.816000,1
1786437113.6623292,19,3,0.919097,0.920114,759,565,758,504,meter,0.751000,0.091396,0.188024,0.751000,0.089259,0.191703,0.753500,1
1786437113.6623292,19,4,0.951960,0.795440,925,566,919,505,meter,0.766000,0.234025,0.191779,0.766000,0.234025,0.192469,0.766000,1
1786437113.7698472,20,1,0.908501,0.909667,749,290,750,239,meter,0.841000,0.093037,-0.049838,0.841000,0.084957,-0.050831,0.841000,1
1786437113.7698472,20,2,0.932718,0.887194,898,301,895,250,meter,0.816000,0.224905,-0.038395,0.816000,0.217943,-0.040960,0.816000,1
1786437113.7698472,20,3,0.923774,0.942013,765,572,767,511,meter,0.752000,0.096514,0.194116,0.752000,0.091396,0.191867,0.753000,1
1786437113.7698472,20,4,0.920516,0.894336,934,572,928,512,meter,0.766000,0.241659,0.197730,0.766000,0.236681,0.192675,0.766000,1
1786437113.8773556,21,1,0.912830,0.909154,747,294,748,244,meter,0.839000,0.090957,-0.046926,0.839000,0.087957,-0.050831,0.840500,1
1786437113.8773556,21,2,0.922266,0.897400,895,303,894,252,meter,0.817000,0.222466,-0.036629,0.817000,0.219888,-0.040632,0.816000,1
1786437113.8773556,21,3,0.919220,0.947171,764,574,766,513,meter,0.755000,0.096063,0.196566,0.755000,0.092769,0.191995,0.753500,1
1786437113.8773556,21,4,0.912932,0.888957,933,573,928,516,meter,0.765000,0.240497,0.198321,0.765000,0.239336,0.192881,0.766000,1
